BYLINE,DATE,DATELINE,HEADLINE,LENGTH,PUBLICATION,SECTION,TITLE,SUBJECT
CHRIS BUCKLEY,"January 16, 2016 Saturday 00:00 EST",,"Before Debris Collapse in China, Safety Fears Were Discussed",2084 words,The New York Times,WORLD; asia,,ENGINEERING (92%); TALKS & MEETINGS (91%); OCCUPATIONAL HEALTH & SAFETY AGENCIES (90%); POLITICAL PARTIES (90%); TRUCK SAFETY (90%); WORKPLACE HEALTH & SAFETY (90%); CORRUPTION (89%); CIVIL ENGINEERING (78%); POLITICAL CORRUPTION (78%); REGIONAL & LOCAL GOVERNMENTS (78%); LANDFILLS (77%); MANUFACTURING FACILITIES (77%); TECHNICIANS & TECHNOLOGICAL WORKERS (77%); PROJECT MANAGEMENT (74%); INTERVIEWS (74%); EXPLOSIONS (73%); DISASTER RELIEF (70%); CONSULTING SERVICES (69%); MANAGEMENT CONSULTING (54%); TOXIC & HAZARDOUS SUBSTANCES (50%)
TIMOTHY EGAN,"January 15, 2016 Friday 00:00 EST",,Giving Obama His Due; Contributing Op-Ed Writer,855 words,The New York Times,OPINION,,EDITORIALS & OPINIONS (92%); AFRICAN AMERICANS (90%); POLITICS (90%); US PRESIDENTS (89%); WRITERS (78%); GROSS NATIONAL PRODUCT (78%); ECONOMIC NEWS (78%); US REPUBLICAN PARTY (77%); RACE & ETHNICITY (77%); SLAVERY (77%); GOVERNMENT BUDGETS (76%); RACISM & XENOPHOBIA (76%); POLITICAL DEBATES (72%); GREAT DEPRESSION (72%); PUBLIC FINANCE (71%); ECONOMIC DEPRESSION (70%); UNEMPLOYMENT RATES (65%); NATIONAL DEBT (63%)
ANN MAH,"January 14, 2016 Thursday 00:00 EST",,"Elena Ferrante's Naples, Then and Now; Footsteps",1636 words,The New York Times,TRAVEL,,NOVELS & SHORT STORIES (90%); WRITERS (90%); FICTION LITERATURE (90%); LITERATURE (89%); REAL ESTATE (78%); JOURNALISM (75%); BIOGRAPHICAL LITERATURE (70%); PROFILES & BIOGRAPHIES (70%); PREGNANCY & CHILDBIRTH (65%)
STEPHEN HOLDEN,"January 14, 2016 Thursday 00:00 EST",,"Review: Richard Gere, 'The Benefactor' Who Pulls the Strings",595 words,The New York Times,MOVIES,,FILM (90%); COURTSHIP & DATING (78%); HOMELESSNESS (70%); WOUNDS & INJURIES (69%); ACCIDENTAL FATALITIES (64%); DOGS (64%)
NEIL GENZLINGER,"January 14, 2016 Thursday 00:00 EST",,"Review: 'Moonwalkers,' a Conspiracy-Theory Comedy",268 words,The New York Times,MOVIES,,FILM (90%); ACTORS & ACTRESSES (90%); SPACE EXPLORATION (89%); MOVIE FILMING (77%); MOVIE RATINGS (71%); VISUAL & PERFORMING ARTS (71%); CONTENT RATINGS (71%); POST TRAUMATIC STRESS DISORDER (70%)
MANOHLA DARGIS,"January 14, 2016 Thursday 00:00 EST",,Review: 'A Perfect Day' About Aid Workers in the Balkans,484 words,The New York Times,MOVIES,,FILM (91%); MOVIE INDUSTRY (89%); RELIEF ORGANIZATIONS (89%); FOOD CHARITIES (89%); ACTORS & ACTRESSES (78%); FILM DIRECTORS (78%); SHOOTINGS (77%); GUNSHOT WOUNDS (77%); VISUAL ARTISTS (73%); LANGUAGE & LANGUAGES (72%); INTERNATIONAL ASSISTANCE (70%)
A. O. SCOTT,"January 14, 2016 Thursday 00:00 EST",,Review: 'Ride Along 2' Reloads Twin Barrels of Ice Cube and Kevin Hart,411 words,The New York Times,MOVIES,,COMEDY FILMS (90%); WEDDINGS & ENGAGEMENTS (87%); FILM (86%); CONTENT RATINGS (86%); ACTION & ADVENTURE FILMS (77%); MEN (76%); TELEVISION COMEDIES (72%); MOVIE RATINGS (69%); FILM DIRECTORS (69%)
MANOHLA DARGIS,"January 14, 2016 Thursday 00:00 EST",,"Review: In Michael Bay's '13 Hours: The Secret Soldiers of Benghazi,' Clarity Isn't the Objective",1202 words,The New York Times,MOVIES,,FILM (90%); DIPLOMATIC SERVICES (90%); ARMED FORCES (90%); INTELLIGENCE SERVICES (78%); MOVIE REVIEWS (77%); EXPLOSIONS (77%); ACTION & ADVENTURE FILMS (76%)
BROOKS BARNES and MICHAEL CIEPLY,"January 14, 2016 Thursday 00:00 EST",,Oscar Nominations 2016,1626 words,The New York Times,MOVIES,,ENTERTAINMENT & ARTS AWARDS (93%); FILM (92%); ACADEMY AWARDS (91%); MOVIE INDUSTRY (90%); FILM DIRECTORS (90%); ACTORS & ACTRESSES (89%); AWARDS & PRIZES (78%); CELEBRITIES (77%); CINEMATOGRAPHY (76%); VISUAL ARTS (76%); COSTUME & SET DESIGN (71%); GAYS & LESBIANS (50%)
THE NEW YORK TIMES,"January 14, 2016 Thursday 03:00 EST",,Applications for the 2016 New York Portfolio Review; Lens,1134 words,The New York Times(Lens),MULTIMEDIA,,PUBLISHING (90%); BOOK PUBLISHING (90%); PHOTOGRAPHY (90%); VISUAL ARTISTS (90%); PHOTOJOURNALISM (89%); JOURNALISM (77%); GRADUATE & PROFESSIONAL SCHOOLS (71%); MANAGERS & SUPERVISORS (61%)
BEN RATLIFF,"January 13, 2016 Wednesday 00:00 EST",,"Popcast: Love, Death and David Bowie; Popcast",391 words,The New York Times,ARTS; music,,SINGERS & MUSICIANS (90%); POP & ROCK (90%); CELEBRITIES (90%); MUSIC (89%); WRITERS (89%); PODCASTING (78%); JAZZ & BLUES (77%); FILM (74%)
GIDEON LEWIS-KRAUS,"January 12, 2016 Tuesday 00:00 EST",,The Trials of Alice Goffman; Feature,8450 words,The New York Times,MAGAZINE,,SOCIOLOGY (91%); HUMANITIES & SOCIAL SCIENCE (90%); PRISONS (89%); COLLEGE STUDENTS (77%); ANTHROPOLOGY & ARCHAEOLOGY (77%); COLLEGES & UNIVERSITIES (76%); LITERATURE (76%); STUDENTS & STUDENT LIFE (76%); COLLEGE & UNIVERSITY PROFESSORS (76%); BOOK REVIEWS (74%); WRITERS (73%); BAIL (71%); GRADUATE & PROFESSIONAL SCHOOLS (71%); ARRESTS (71%); CHILDREN (69%); CONTROLLED SUBSTANCES CRIME (67%)
